homelat,homelon,n
1.8257,117.2264,991
40.1824,116.4142,935
30.0572,107.8740,583
26.0789,117.9874,367
36.0611,103.8343,167
23.3417,113.4244,1687
23.8298,108.7881,255
26.8154,106.8748,147
19.1959,109.7453,171
38.0428,114.5149,349
47.8620,127.7615,947
33.8820,113.6140,1276
22.3000,114.2000,3849
30.9756,112.2707,68138
27.6104,111.7088,1019
44.0935,113.9448,258
32.9711,119.4550,659
27.6140,115.7221,932
43.6661,126.1923,157
41.2956,122.6085,259
22.1667,113.5500,46
37.2692,106.1655,75
35.7452,95.9956,18
35.1917,108.8701,328
36.3427,118.1498,805
31.2020,121.4491,764
37.5777,112.2922,201
30.6171,102.7103,611
39.3054,117.3230,205
31.6927,88.0924,1
41.1129,85.2401,799
24.9740,101.4870,191
29.1832,120.0934,1270
23.7000,121.0000,477
32.3182,-86.9023,96592
61.3707,-152.4044,3483
33.7298,-111.4312,183656
34.9697,-92.3731,47028
36.1162,-119.6816,541339
39.0598,-105.3111,49418
41.5978,-72.7554,50245
39.3185,-75.5071,15365
35.4437,139.6380,49
38.8974,-77.0268,12518
27.7663,-81.6868,510389
33.0406,-83.6431,204895
37.6489,-122.6655,103
13.4443,144.7937,411
21.0943,-157.4983,2914
44.2405,-114.4788,23401
40.3495,-88.9861,189705
39.8494,-86.2583,71015
42.0115,-93.2105,47559
38.5266,-96.7265,29617
37.6681,-84.6701,33254
31.1695,-91.8678,127246
44.6939,-69.3819,3999
39.0639,-76.8021,93005
42.2302,-71.5301,119874
43.3266,-84.5361,94656
45.6945,-93.9002,58640
32.7416,-89.6787,64400
38.4561,-92.2884,56773
46.9219,-110.4544,4602
41.1254,-98.2681,27821
38.3135,-117.0554,53557
43.4525,-71.5639,6742
40.2989,-74.5210,183701
34.8405,-106.2485,21773
42.1657,-74.9481,418928
35.6301,-79.8064,131802
47.5289,-99.7840,7177
15.0979,145.6739,47
40.3888,-82.7649,97471
35.5653,-96.9289,41401
44.5720,-122.0709,20224
40.5908,-77.2098,121247
